GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
teste_software,com,BinarySearch,3,41,0,6,1,11,1,4,1,1
teste_software,com.exercicio.teste,Main,47,0,2,0,9,0,3,0,2,0
